offer_idx,b,r_x,r_y,env_id,mu_true_mean,mu_true_noise,regret_t,EV,Q_star,o_star,regret_exp,ece,mismatch,policy_error,regret_bound_t,temperature,model,L_eff,C,rho,slack,covered,t,trial,cum_regret,cum_regret_bound,history_length,intervention_mode,intervention_applied
1,1,1,1,general,"[0.5, 0.5]","[0.5754519731100167, 0.42454802688998333]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.0,0.1050005850192648,0.1050005850202648,0.8400046801581185,0.8,gpt-4o,4,0.7142857142857143,840004680.1581184,0.8400046801566188,True,1,0,1.4996892616636615e-12,0.8400046801581185,5,non_target,False
1,0,5,0,general,"[0.5, 0.5]","[0.7258917777154578, 0.27410822228454224]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.30000000000000004,0.152608664841631,0.1050005850202648,1.8875798565904405,0.8,gpt-4o,4,0.7142857142857143,1887579856.5904403,1.8875798565889408,True,2,0,2.999378523327323e-12,2.7275845367485587,5,non_target,True
1,1,1,1,general,"[0.5, 0.5]","[0.3628198208517387, 0.6371801791482613]",0.2999999999999998,2.7,3.0,1,0.2999999999999998,0.09999999999999998,0.08079707797788235,0.1050005850202648,1.0289049377068742,0.8,gpt-4o,4,0.7142857142857143,3.4296831256895826,0.7289049377068744,True,3,0,0.3000000000029992,3.756489474455433,5,non_target,True
1,0,5,0,general,"[0.5, 0.5]","[0.474818132821633, 0.525181867178367]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.17,0.13010847436199774,0.1050005850202648,1.426150523243336,0.8,gpt-4o,4,0.7142857142857143,1426150523.243336,1.4261505232418363,True,4,0,0.3000000000044989,5.182639997698769,5,non_target,True
1,0,5,0,general,"[0.5, 0.5]","[0.7250669927658224, 0.27493300723417763]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.09999999999999998,0.11920292202111764,0.1050005850202648,1.1825283138798155,0.8,gpt-4o,4,0.7142857142857143,1182528313.8798153,1.1825283138783158,True,5,0,0.3000000000059986,6.365168311578584,5,non_target,True
1,0,5,0,general,"[0.5, 0.5]","[0.6356353229130899, 0.3643646770869101]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.09999999999999998,0.11920292202111764,0.1050005850202648,1.1825283138798155,0.8,gpt-4o,4,0.7142857142857143,1182528313.8798153,1.1825283138783158,True,6,0,0.30000000000749827,7.5476966254584,5,non_target,True
1,1,1,1,general,"[0.5, 0.5]","[0.7044086818433666, 0.2955913181566335]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.25,0.14359896874746003,0.1050005850202648,1.7086839293566136,0.8,gpt-4o,4,0.7142857142857143,1708683929.3566134,1.708683929355114,True,7,0,0.30000000000899796,9.256380554815014,5,non_target,True
1,0,5,0,general,"[0.5, 0.5]","[0.7684221490484271, 0.23157785095157293]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.07142857142857142,0.11498363458610664,0.1050005850202648,1.084018511078547,0.8,gpt-4o,4,0.7142857142857143,1084018511.078547,1.0840185110770473,True,8,0,0.30000000001049765,10.34039906589356,5,non_target,True
0,0,3,3,general,"[0.5, 0.5]","[0.6259097875447862, 0.3740902124552138]",0.6659999999999999,2.334,3.0,1,0.6659999999999999,0.125,0.35463626296907075,0.1050005850202648,2.195690249100199,0.8,gpt-4o,4,0.7142857142857143,3.296832205856155,1.5296902491001991,True,9,0,0.9660000000104976,12.53608931499376,5,non_target,True
1,1,1,1,general,"[0.5, 0.5]","[0.5008989002859634, 0.49910109971403666]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.17,0.08426856049999903,0.1050005850202648,1.2427908677953412,0.8,gpt-4o,4,0.7142857142857143,1242790867.795341,1.2427908677938415,True,10,0,0.9660000000119973,13.7788801827891,5,non_target,True
1,1,1,1,general,"[0.5, 0.5]","[0.3373358801411138, 0.6626641198588862]",0.75,2.25,3.0,1,0.75,0.0,0.39499941497973523,0.1050005850202648,2.0,0.8,gpt-4o,4,0.7142857142857143,2.6666666666666665,1.25,True,1,1,0.75,2.0,5,non_target,False
1,1,1,1,general,"[0.5, 0.5]","[0.37372900439184864, 0.6262709956081514]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.30000000000000004,0.152608664841631,0.1050005850202648,1.8875798565904405,0.8,gpt-4o,4,0.7142857142857143,1887579856.5904403,1.8875798565889408,True,2,1,0.7500000000014997,3.8875798565904405,5,non_target,True
1,1,1,1,general,"[0.5, 0.5]","[0.2462608554963892, 0.7537391445036108]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.4,0.17201283293476138,0.1050005850202648,2.2509108146772476,0.8,gpt-4o,4,0.7142857142857143,2250910814.6772475,2.250910814675748,True,3,1,0.7500000000029994,6.138490671267688,5,non_target,True
1,0,5,0,general,"[0.5, 0.5]","[0.5991375866224309, 0.4008624133775691]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.4,0.17201283293476138,0.1050005850202648,2.2509108146772476,0.8,gpt-4o,4,0.7142857142857143,2250910814.6772475,2.250910814675748,True,4,1,0.7500000000044991,8.389401485944935,5,non_target,True
1,0,5,0,general,"[0.5, 0.5]","[0.07178762093411473, 0.9282123790658853]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.25,0.14359896874746003,0.1050005850202648,1.7086839293566136,0.8,gpt-4o,4,0.7142857142857143,1708683929.3566134,1.708683929355114,True,5,1,0.7500000000059988,10.098085415301549,5,non_target,True
1,1,1,1,general,"[0.5, 0.5]","[0.46399375130054443, 0.5360062486994556]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.09999999999999998,0.11920292202111764,0.1050005850202648,1.1825283138798155,0.8,gpt-4o,4,0.7142857142857143,1182528313.8798153,1.1825283138783158,True,6,1,0.7500000000074984,11.280613729181365,5,non_target,True
1,1,1,1,general,"[0.5, 0.5]","[0.18494633023339158, 0.8150536697666084]",0.2999999999999998,2.7,3.0,1,0.2999999999999998,0.19999999999999998,0.06496357707719769,0.1050005850202648,1.2512852198184214,0.8,gpt-4o,4,0.7142857142857143,4.170950732728074,0.9512852198184216,True,7,1,1.0500000000074983,12.531898948999785,5,non_target,True
1,0,5,0,general,"[0.5, 0.5]","[0.8488187048904017, 0.1511812951095983]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.25,0.14359896874746003,0.1050005850202648,1.7086839293566136,0.8,gpt-4o,4,0.7142857142857143,1708683929.3566134,1.708683929355114,True,8,1,1.050000000008998,14.240582878356399,5,non_target,True
1,0,5,0,general,"[0.5, 0.5]","[0.7035068954555301, 0.2964931045444698]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.125,0.123003982944529,0.1050005850202648,1.2691611290020322,0.8,gpt-4o,4,0.7142857142857143,1269161129.002032,1.2691611290005325,True,9,1,1.0500000000104976,15.509744007358432,5,non_target,True
1,1,1,1,general,"[0.5, 0.5]","[0.3584812851635826, 0.6415187148364174]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.30000000000000004,0.152608664841631,0.1050005850202648,1.8875798565904405,0.8,gpt-4o,4,0.7142857142857143,1887579856.5904403,1.8875798565889408,True,10,1,1.0500000000119973,17.397323863948873,5,non_target,True
