offer_idx,b,r_x,r_y,env_id,mu_true_mean,mu_true_noise,regret_t,EV,Q_star,o_star,regret_exp,ece,mismatch,policy_error,regret_bound_t,temperature,model,L_eff,C,rho,slack,covered,t,trial,cum_regret,cum_regret_bound,history_length,intervention_mode,intervention_applied
1,1,1,1,general,"[0.5, 0.5]","[0.5754519731100167, 0.42454802688998333]",0.75,2.25,3.0,1,0.75,0.0,0.39499941497973523,0.1050005850202648,2.0,0.8,gpt-4o,4,0.7142857142857143,2.6666666666666665,1.25,True,1,0,0.75,2.0,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.7258917777154578, 0.27410822228454224]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.19999999999999998,0.1350364229218023,0.1050005850202648,1.5315766031968399,0.8,gpt-4o,4,0.7142857142857143,1531576603.1968398,1.5315766031953402,True,2,0,0.7500000000014997,3.53157660319684,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.3628198208517387, 0.6371801791482613]",0.6000000000000001,2.4,3.0,1,0.6000000000000001,0.09999999999999998,0.30768697124770195,0.1050005850202648,1.9364645107861527,0.8,gpt-4o,4,0.7142857142857143,3.227440851310254,1.3364645107861526,True,3,0,1.3500000000014998,5.468041113982992,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.474818132821633, 0.525181867178367]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.17,0.13010847436199774,0.1050005850202648,1.426150523243336,0.8,gpt-4o,4,0.7142857142857143,1426150523.243336,1.4261505232418363,True,4,0,1.3500000000029995,6.894191637226328,5,none,False
0,0,3,3,general,"[0.5, 0.5]","[0.7250669927658224, 0.27493300723417763]",0.75,2.25,3.0,1,0.75,0.0,0.39499941497973523,0.1050005850202648,2.0,0.8,gpt-4o,4,0.7142857142857143,2.6666666666666665,1.25,True,5,0,2.1000000000029995,8.894191637226328,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.6356353229130899, 0.3643646770869101]",0.4500000000000002,2.55,3.0,1,0.4500000000000002,0.09999999999999998,0.1807970779778824,0.1050005850202648,1.4289049377068745,0.8,gpt-4o,4,0.7142857142857143,3.1753443060152757,0.9789049377068744,True,6,0,2.5500000000029996,10.323096574933203,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.7044086818433666, 0.2955913181566335]",0.645,2.355,3.0,1,0.645,0.17,0.345731439499001,0.1050005850202648,2.2886423837913488,0.8,gpt-4o,4,0.7142857142857143,3.5482827655679823,1.6436423837913487,True,7,0,3.1950000000029997,12.611738958724551,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.7684221490484271, 0.23157785095157293]",0.8571428571428572,2.142857142857143,3.0,1,0.8571428571428572,0.07142857142857142,0.4564449368414648,0.1050005850202648,2.4498637200999798,0.8,gpt-4o,4,0.7142857142857143,2.858174340116643,1.5927208629571226,True,8,0,4.052142857145856,15.061602678824531,5,none,False
0,0,3,3,general,"[0.5, 0.5]","[0.6259097875447862, 0.3740902124552138]",0.5625,2.4375,3.0,1,0.5625,0.125,0.28563626296907074,0.1050005850202648,1.9196902491001993,0.8,gpt-4o,4,0.7142857142857143,3.412782665067021,1.3571902491001993,True,9,0,4.614642857145856,16.98129292792473,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.5008989002859634, 0.49910109971403666]",0.4500000000000002,2.55,3.0,1,0.4500000000000002,0.16666666666666666,0.215363247627377,0.1050005850202648,1.7576458067810434,0.8,gpt-4o,4,0.7142857142857143,3.9058795706245393,1.3076458067810433,True,10,0,5.064642857145857,18.738938734705773,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.3373358801411138, 0.6626641198588862]",0.75,2.25,3.0,1,0.75,0.0,0.39499941497973523,0.1050005850202648,2.0,0.8,gpt-4o,4,0.7142857142857143,2.6666666666666665,1.25,True,1,1,0.75,2.0,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.37372900439184864, 0.6262709956081514]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.30000000000000004,0.152608664841631,0.1050005850202648,1.8875798565904405,0.8,gpt-4o,4,0.7142857142857143,1887579856.5904403,1.8875798565889408,True,2,1,0.7500000000014997,3.8875798565904405,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.2462608554963892, 0.7537391445036108]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.30000000000000004,0.152608664841631,0.1050005850202648,1.8875798565904405,0.8,gpt-4o,4,0.7142857142857143,1887579856.5904403,1.8875798565889408,True,3,1,0.7500000000029994,5.775159713180881,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.5991375866224309, 0.4008624133775691]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.4,0.17201283293476138,0.1050005850202648,2.2509108146772476,0.8,gpt-4o,4,0.7142857142857143,2250910814.6772475,2.250910814675748,True,4,1,0.7500000000044991,8.026070527858128,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.07178762093411473, 0.9282123790658853]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.25,0.14359896874746003,0.1050005850202648,1.7086839293566136,0.8,gpt-4o,4,0.7142857142857143,1708683929.3566134,1.708683929355114,True,5,1,0.7500000000059988,9.734754457214741,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.46399375130054443, 0.5360062486994556]",0.2999999999999998,2.7,3.0,1,0.2999999999999998,0.09999999999999998,0.08079707797788235,0.1050005850202648,1.0289049377068742,0.8,gpt-4o,4,0.7142857142857143,3.4296831256895826,0.7289049377068744,True,6,1,1.0500000000059986,10.763659394921616,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.18494633023339158, 0.8150536697666084]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.167,0.12962418456937885,0.1050005850202648,1.4156419355014318,0.8,gpt-4o,4,0.7142857142857143,1415641935.5014317,1.4156419354999321,True,7,1,1.0500000000074983,12.179301330423048,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.8488187048904017, 0.1511812951095983]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.2142857142857143,0.1374379324471545,0.1050005850202648,1.581998967828861,0.8,gpt-4o,4,0.7142857142857143,1581998967.828861,1.5819989678273614,True,8,1,1.050000000008998,13.761300298251909,5,none,False
