offer_idx,b,r_x,r_y,env_id,mu_true_mean,mu_true_noise,regret_t,EV,Q_star,o_star,regret_exp,ece,mismatch,policy_error,regret_bound_t,temperature,model,L_eff,C,rho,slack,covered,t,trial,cum_regret,cum_regret_bound,history_length,intervention_mode,intervention_applied
1,1,1,1,general,"[0.5, 0.5]","[0.5754519731100167, 0.42454802688998333]",0.75,2.25,3.0,1,0.75,0.0,0.39499941497973523,0.1050005850202648,2.0,0.8,gpt-4o,4,0.7142857142857143,2.6666666666666665,1.25,True,1,0,0.75,2.0,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.7258917777154578, 0.27410822228454224]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.30000000000000004,0.152608664841631,0.1050005850202648,1.8875798565904405,0.8,gpt-4o,4,0.7142857142857143,1887579856.5904403,1.8875798565889408,True,2,0,0.7500000000014997,3.8875798565904405,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.3628198208517387, 0.6371801791482613]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.19999999999999998,0.1350364229218023,0.1050005850202648,1.5315766031968399,0.8,gpt-4o,4,0.7142857142857143,1531576603.1968398,1.5315766031953402,True,3,0,0.7500000000029994,5.41915645978728,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.474818132821633, 0.525181867178367]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.17,0.13010847436199774,0.1050005850202648,1.426150523243336,0.8,gpt-4o,4,0.7142857142857143,1426150523.243336,1.4261505232418363,True,4,0,0.7500000000044991,6.845306983030616,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.7250669927658224, 0.27493300723417763]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.09999999999999998,0.11920292202111764,0.1050005850202648,1.1825283138798155,0.8,gpt-4o,4,0.7142857142857143,1182528313.8798153,1.1825283138783158,True,5,0,0.7500000000059988,8.027835296910432,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.6356353229130899, 0.3643646770869101]",0.8999999999999999,2.1,3.0,1,0.8999999999999999,0.09999999999999998,0.48079707797788235,0.1050005850202648,2.6289049377068743,0.8,gpt-4o,4,0.7142857142857143,2.9210054863409716,1.7289049377068744,True,6,0,1.6500000000059987,10.656740234617306,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.7044086818433666, 0.2955913181566335]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.167,0.12962418456937885,0.1050005850202648,1.4156419355014318,0.8,gpt-4o,4,0.7142857142857143,1415641935.5014317,1.4156419354999321,True,7,0,1.6500000000074984,12.072382170118738,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.7684221490484271, 0.23157785095157293]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.07142857142857142,0.11498363458610664,0.1050005850202648,1.084018511078547,0.8,gpt-4o,4,0.7142857142857143,1084018511.078547,1.0840185110770473,True,8,0,1.650000000008998,13.156400681197285,5,none,False
0,0,3,3,general,"[0.5, 0.5]","[0.6259097875447862, 0.3740902124552138]",0.9375,2.0625,3.0,1,0.9375,0.125,0.5356362629690707,0.1050005850202648,2.9196902491001993,0.8,gpt-4o,4,0.7142857142857143,3.1143362657068794,1.9821902491001993,True,9,0,2.587500000008998,16.076090930297482,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.5008989002859634, 0.49910109971403666]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.17,0.08426856049999903,0.1050005850202648,1.2427908677953412,0.8,gpt-4o,4,0.7142857142857143,1242790867.795341,1.2427908677938415,True,10,0,2.5875000000104977,17.318881798092825,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.3373358801411138, 0.6626641198588862]",0.75,2.25,3.0,1,0.75,0.0,0.39499941497973523,0.1050005850202648,2.0,0.8,gpt-4o,4,0.7142857142857143,2.6666666666666665,1.25,True,1,1,0.75,2.0,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.37372900439184864, 0.6262709956081514]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.30000000000000004,0.152608664841631,0.1050005850202648,1.8875798565904405,0.8,gpt-4o,4,0.7142857142857143,1887579856.5904403,1.8875798565889408,True,2,1,0.7500000000014997,3.8875798565904405,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.2462608554963892, 0.7537391445036108]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.4,0.17201283293476138,0.1050005850202648,2.2509108146772476,0.8,gpt-4o,4,0.7142857142857143,2250910814.6772475,2.250910814675748,True,3,1,0.7500000000029994,6.138490671267688,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.5991375866224309, 0.4008624133775691]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.4,0.17201283293476138,0.1050005850202648,2.2509108146772476,0.8,gpt-4o,4,0.7142857142857143,2250910814.6772475,2.250910814675748,True,4,1,0.7500000000044991,8.389401485944935,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.07178762093411473, 0.9282123790658853]",0.75,2.25,3.0,1,0.75,0.25,0.35640103125154,0.1050005850202648,2.5598921793729335,0.8,gpt-4o,4,0.7142857142857143,3.4131895724972448,1.8098921793729335,True,5,1,1.500000000004499,10.94929366531787,5,none,False
0,1,0,5,general,"[0.5, 0.5]","[0.46399375130054443, 0.5360062486994556]",0.8999999999999999,2.1,3.0,1,0.8999999999999999,0.09999999999999998,0.48079707797788235,0.1050005850202648,2.6289049377068743,0.8,gpt-4o,4,0.7142857142857143,2.9210054863409716,1.7289049377068744,True,6,1,2.400000000004499,13.578198603024743,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.18494633023339158, 0.8150536697666084]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.17,0.13010847436199774,0.1050005850202648,1.426150523243336,0.8,gpt-4o,4,0.7142857142857143,1426150523.243336,1.4261505232418363,True,7,1,2.4000000000059987,15.00434912626808,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.8488187048904017, 0.1511812951095983]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.2142857142857143,0.1374379324471545,0.1050005850202648,1.581998967828861,0.8,gpt-4o,4,0.7142857142857143,1581998967.828861,1.5819989678273614,True,8,1,2.4000000000074984,16.58634809409694,5,none,False
1,0,5,0,general,"[0.5, 0.5]","[0.7035068954555301, 0.2964931045444698]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.25,0.14359896874746003,0.1050005850202648,1.7086839293566136,0.8,gpt-4o,4,0.7142857142857143,1708683929.3566134,1.708683929355114,True,9,1,2.400000000008998,18.295032023453555,5,none,False
1,1,1,1,general,"[0.5, 0.5]","[0.3584812851635826, 0.6415187148364174]",1.4996892616636615e-12,2.9999999999985003,3.0,1,1.4996892616636615e-12,0.1667,0.12957584006310074,0.1050005850202648,1.4145914146191765,0.8,gpt-4o,4,0.7142857142857143,1414591414.6191764,1.4145914146176768,True,10,1,2.4000000000104977,19.709623438072732,5,none,False
