offer_idx,b,r_x,r_y,env_id,mu_true_mean,mu_true_noise,regret_t,EV,Q_star,o_star,regret_exp,ece,mismatch,policy_error,regret_bound_t,temperature,model,L_eff,C,rho,slack,covered,t,trial,cum_regret,cum_regret_bound,history_length,intervention_mode,intervention_applied
1,1,0,0,general,"[0.5, 0.5]","[0.5754519731100167, 0.42454802688998333]",1.25,2.25,3.5,0,1.25,0.0,0.47265321320381715,0.02734678679618287,2.0,0.8,gpt-4o,4,0.7142857142857143,1.6,0.75,True,1,0,1.25,2.0,5,target,False
1,0,2,3,general,"[0.5, 0.5]","[0.7258917777154578, 0.27410822228454224]",2.4999999999974998,1.0000000000025,3.5,0,2.4999999999974998,0.30000000000000004,0.9820137900369085,0.02734678679618287,4.894585164475223,0.8,gpt-4o,4,0.7142857142857143,1.9578340657920472,2.394585164477723,True,2,0,3.7499999999974998,6.894585164475223,5,target,True
1,1,0,0,general,"[0.5, 0.5]","[0.3628198208517387, 0.6371801791482613]",2.4999999999974998,1.0000000000025,3.5,0,2.4999999999974998,0.0,0.9726532132028172,0.02734678679618287,3.999999999996,0.8,gpt-4o,4,0.7142857142857143,1.6,1.4999999999985003,True,3,0,6.2499999999949996,10.894585164471223,5,target,True
1,0,2,3,general,"[0.5, 0.5]","[0.474818132821633, 0.525181867178367]",2.4999999999974998,1.0000000000025,3.5,0,2.4999999999974998,0.17,0.9784223994756605,0.02734678679618287,4.508791030801659,0.8,gpt-4o,4,0.7142857142857143,1.8035164123224674,2.0087910308041597,True,4,0,8.7499999999925,15.403376195272884,5,target,True
1,0,2,3,general,"[0.5, 0.5]","[0.7250669927658224, 0.27493300723417763]",2.4999999999974998,1.0000000000025,3.5,0,2.4999999999974998,0.0,0.9726532132028172,0.02734678679618287,3.999999999996,0.8,gpt-4o,4,0.7142857142857143,1.6,1.4999999999985003,True,5,0,11.249999999989999,19.403376195268883,5,target,True
1,0,2,3,general,"[0.5, 0.5]","[0.6356353229130899, 0.3643646770869101]",2.0,1.5,3.5,0,2.0,0.09999999999999998,0.7762070576018354,0.02734678679618287,3.4999296633063586,0.8,gpt-4o,4,0.7142857142857143,1.7499648316531793,1.4999296633063586,True,6,0,13.249999999989999,22.90330585857524,5,target,True
0,1,3,2,general,"[0.5, 0.5]","[0.7044086818433666, 0.2955913181566335]",2.4997781622460025e-12,3.4999999999975,3.5,0,2.4997781622460025e-12,0.166,0.034413534730212504,0.02734678679618287,0.7213270003912958,0.8,gpt-4o,4,0.7142857142857143,721327000.3912958,0.721327000388796,True,7,0,13.249999999992498,23.624632858966535,5,target,True
0,0,4,4,general,"[0.5, 0.5]","[0.7684221490484271, 0.23157785095157293]",2.4997781622460025e-12,3.4999999999975,3.5,0,2.4997781622460025e-12,0.07142857142857142,0.024759631977672558,0.02734678679618287,0.41250730774848293,0.8,gpt-4o,4,0.7142857142857143,412507307.7484829,0.41250730774598315,True,8,0,13.249999999994998,24.03714016671502,5,target,True
0,0,4,4,general,"[0.5, 0.5]","[0.6259097875447862, 0.3740902124552138]",1.25,2.25,3.5,0,1.25,0.0,0.47265321320381715,0.02734678679618287,2.0,0.8,gpt-4o,4,0.7142857142857143,1.6,0.75,True,9,0,14.499999999994998,26.03714016671502,5,target,True
0,1,3,2,general,"[0.5, 0.5]","[0.5008989002859634, 0.49910109971403666]",2.4997781622460025e-12,3.4999999999975,3.5,0,2.4997781622460025e-12,0.1666666667,0.03444519566679493,0.02734678679618287,0.7233584061376255,0.8,gpt-4o,4,0.7142857142857143,723358406.1376255,0.7233584061351257,True,10,0,14.499999999997497,26.760498572852644,5,target,True
