offer_idx,b,r_x,r_y,env_id,mu_true_mean,mu_true_noise,regret_t,EV,Q_star,o_star,regret_exp,ece,mismatch,policy_error,regret_bound_t,temperature,model,L_eff,C,rho,slack,covered,t,trial,cum_regret,cum_regret_bound,history_length,intervention_mode,intervention_applied
1,1,0,0,general,"[0.5, 0.5]","[0.5754519731100167, 0.42454802688998333]",1.25,2.25,3.5,0,1.25,0.33333333333333337,0.48283584724248,0.02734678679618287,2.993111488535604,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,2.394489190828483,1.7431114885356038,True,1,0,1.25,2.993111488535604,5,non_target,False
0,0,4,4,general,"[0.5, 0.5]","[0.7258917777154578, 0.27410822228454224]",1.25,2.25,3.5,0,1.25,0.25,0.4807077572756677,0.02734678679618287,2.7465038905731167,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,2.197203112458493,1.4965038905731167,True,2,0,2.5,5.73961537910872,5,non_target,True
1,1,0,0,general,"[0.5, 0.5]","[0.3628198208517387, 0.6371801791482613]",1.5,2.0,3.5,0,1.5,0.0,0.5726532132038171,0.02734678679618287,2.4,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.5999999999999999,0.8999999999999999,True,3,0,4.0,8.13961537910872,5,non_target,True
1,0,2,3,general,"[0.5, 0.5]","[0.474818132821633, 0.525181867178367]",1.666666666666667,1.833333333333333,3.5,0,1.666666666666667,0.09999999999999998,0.6428737242685021,0.02734678679618287,2.9665963299730254,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.7799577979838148,1.2999296633063584,True,4,0,5.666666666666667,11.106211709081746,5,non_target,True
0,0,4,4,general,"[0.5, 0.5]","[0.7250669927658224, 0.27493300723417763]",1.458333333333333,2.041666666666667,3.5,0,1.458333333333333,0.0,0.5559865465371505,0.02734678679618287,2.3333333333333335,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.6000000000000005,0.8750000000000004,True,5,0,7.125,13.43954504241508,5,non_target,True
1,0,2,3,general,"[0.5, 0.5]","[0.6356353229130899, 0.3643646770869101]",1.25,2.25,3.5,0,1.25,0.09999999999999998,0.4685856289684298,0.02734678679618287,2.2694439487727363,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.815555159018189,1.0194439487727363,True,6,0,8.375,15.708988991187816,5,non_target,True
1,1,0,0,general,"[0.5, 0.5]","[0.7044086818433666, 0.2955913181566335]",0.8333333333333335,2.6666666666666665,3.5,0,0.8333333333333335,0.09999999999999998,0.3095403909351687,0.02734678679618287,1.6332629966396919,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.95991559596763,0.7999296633063584,True,7,0,9.208333333333334,17.34225198782751,5,non_target,True
1,0,2,3,general,"[0.5, 0.5]","[0.7684221490484271, 0.23157785095157293]",1.0,2.5,3.5,0,1.0,0.09999999999999998,0.3762070576018354,0.02734678679618287,1.899929663306359,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.899929663306359,0.8999296633063589,True,8,0,10.208333333333334,19.24218165113387,5,non_target,True
0,0,4,4,general,"[0.5, 0.5]","[0.6259097875447862, 0.3740902124552138]",0.625,2.875,3.5,0,0.625,0.09999999999999998,0.21858562896842987,0.02734678679618287,1.2694439487727367,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,2.0311103180363785,0.6444439487727367,True,9,0,10.833333333333334,20.511625599906605,5,non_target,True
0,1,3,2,general,"[0.5, 0.5]","[0.5008989002859634, 0.49910109971403666]",1.25,2.25,3.5,0,1.25,0.08333333333333334,0.4756477221735813,0.02734678679618287,2.250073273974295,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.8000586191794359,1.0000732739742948,True,10,0,12.083333333333334,22.7616988738809,5,non_target,True
1,1,0,0,general,"[0.5, 0.5]","[0.3373358801411138, 0.6626641198588862]",1.25,2.25,3.5,0,1.25,0.0,0.47265321320381715,0.02734678679618287,2.0,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.6,0.75,True,1,1,1.25,2.0,5,non_target,False
0,1,3,2,general,"[0.5, 0.5]","[0.37372900439184864, 0.6262709956081514]",0.49999999999999956,3.0000000000000004,3.5,0,0.49999999999999956,0.09999999999999998,0.16858562896842982,0.02734678679618287,1.0694439487727365,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,2.138887897545475,0.569443948772737,True,2,1,1.7499999999999996,3.0694439487727365,5,non_target,True
0,1,3,2,general,"[0.5, 0.5]","[0.2462608554963892, 0.7537391445036108]",1.25,2.25,3.5,0,1.25,0.09999999999999998,0.4685856289684298,0.02734678679618287,2.2694439487727363,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.815555159018189,1.0194439487727363,True,3,1,2.9999999999999996,5.338887897545472,5,non_target,True
1,0,2,3,general,"[0.5, 0.5]","[0.5991375866224309, 0.4008624133775691]",1.25,2.25,3.5,0,1.25,0.16666666666666666,0.4783216367393063,0.02734678679618287,2.498864170332433,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.9990913362659462,1.2488641703324328,True,4,1,4.25,7.837752067877905,5,non_target,True
1,0,2,3,general,"[0.5, 0.5]","[0.07178762093411473, 0.9282123790658853]",1.25,2.25,3.5,0,1.25,0.16666666666666666,0.4783216367393063,0.02734678679618287,2.498864170332433,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.9990913362659462,1.2488641703324328,True,5,1,5.5,10.336616238210338,5,non_target,True
0,1,3,2,general,"[0.5, 0.5]","[0.46399375130054443, 0.5360062486994556]",1.25,2.25,3.5,0,1.25,0.07142857142857142,0.46980409462164796,0.02734678679618287,2.1926851583243847,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.7541481266595078,0.9426851583243847,True,6,1,6.75,12.529301396534724,5,non_target,True
1,1,0,0,general,"[0.5, 0.5]","[0.18494633023339158, 0.8150536697666084]",2.0,1.5,3.5,0,2.0,0.09999999999999998,0.7685856289684299,0.02734678679618287,3.4694439487727364,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.7347219743863682,1.4694439487727364,True,7,1,8.75,15.99874534530746,5,non_target,True
0,0,4,4,general,"[0.5, 0.5]","[0.8488187048904017, 0.1511812951095983]",1.25,2.25,3.5,0,1.25,0.0,0.47265321320381715,0.02734678679618287,2.0,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.6,0.75,True,8,1,10.0,17.998745345307462,5,non_target,True
0,0,4,4,general,"[0.5, 0.5]","[0.7035068954555301, 0.2964931045444698]",0.625,2.875,3.5,0,0.625,0.07142857142857142,0.22524036802132746,0.02734678679618287,1.2144302519231025,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.943088403076964,0.5894302519231025,True,9,1,10.625,19.213175597230563,5,non_target,True
0,1,3,2,general,"[0.5, 0.5]","[0.3584812851635826, 0.6415187148364174]",1.25,2.25,3.5,0,1.25,0.07142857142857142,0.47524036802132746,0.02734678679618287,2.2144302519231025,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.771544201538482,0.9644302519231025,True,10,1,11.875,21.427605849153665,5,non_target,True
