offer_idx,b,r_x,r_y,env_id,mu_true_mean,mu_true_noise,regret_t,EV,Q_star,o_star,regret_exp,ece,mismatch,policy_error,regret_bound_t,temperature,model,L_eff,C,rho,slack,covered,t,trial,cum_regret,cum_regret_bound,history_length,intervention_mode,intervention_applied
1,1,0,0,general,"[0.5, 0.5]","[0.5754519731100167, 0.42454802688998333]",1.25,2.25,3.5,0,1.25,0.33333333333333337,0.48283584724248,0.02734678679618287,2.993111488535604,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,2.394489190828483,1.7431114885356038,True,1,0,1.25,2.993111488535604,5,target,False
0,0,4,4,general,"[0.5, 0.5]","[0.7258917777154578, 0.27410822228454224]",1.25,2.25,3.5,0,1.25,0.0,0.47265321320381715,0.02734678679618287,2.0,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.6,0.75,True,2,0,2.5,4.993111488535604,5,target,True
1,1,0,0,general,"[0.5, 0.5]","[0.3628198208517387, 0.6371801791482613]",0.7500000000000004,2.7499999999999996,3.5,0,0.7500000000000004,0.09999999999999998,0.26858562896842986,0.02734678679618287,1.4694439487727364,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.9592585983636475,0.719443948772736,True,3,0,3.2500000000000004,6.462555437308341,5,target,True
0,0,4,4,general,"[0.5, 0.5]","[0.474818132821633, 0.525181867178367]",0.25,3.25,3.5,0,0.25,0.09999999999999998,0.06858562896842985,0.02734678679618287,0.6694439487727365,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,2.677775795090946,0.4194439487727365,True,4,0,3.5000000000000004,7.131999386081077,5,target,True
0,0,4,4,general,"[0.5, 0.5]","[0.7250669927658224, 0.27493300723417763]",1.25,2.25,3.5,0,1.25,0.07142857142857142,0.47524036802132746,0.02734678679618287,2.2144302519231025,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.771544201538482,0.9644302519231025,True,5,0,4.75,9.34642963800418,5,target,True
1,0,2,3,general,"[0.5, 0.5]","[0.6356353229130899, 0.3643646770869101]",0.7500000000000004,2.7499999999999996,3.5,0,0.7500000000000004,0.09999999999999998,0.26858562896842986,0.02734678679618287,1.4694439487727364,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.9592585983636475,0.719443948772736,True,6,0,5.5,10.815873586776917,5,target,True
1,1,0,0,general,"[0.5, 0.5]","[0.7044086818433666, 0.2955913181566335]",1.25,2.25,3.5,0,1.25,0.09999999999999998,0.4685856289684298,0.02734678679618287,2.2694439487727363,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.815555159018189,1.0194439487727363,True,7,0,6.75,13.085317535549652,5,target,True
1,0,2,3,general,"[0.5, 0.5]","[0.7684221490484271, 0.23157785095157293]",1.0,2.5,3.5,0,1.0,0.07142857142857142,0.3752403680213275,0.02734678679618287,1.8144302519231026,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.8144302519231026,0.8144302519231026,True,8,0,7.75,14.899747787472755,5,target,True
0,0,4,4,general,"[0.5, 0.5]","[0.6259097875447862, 0.3740902124552138]",1.25,2.25,3.5,0,1.25,0.09999999999999998,0.4685856289684298,0.02734678679618287,2.2694439487727363,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.815555159018189,1.0194439487727363,True,9,0,9.0,17.16919173624549,5,target,True
1,1,0,0,general,"[0.5, 0.5]","[0.5008989002859634, 0.49910109971403666]",1.666666666666667,1.833333333333333,3.5,0,1.666666666666667,0.08333333333333334,0.6359687331237514,0.02734678679618287,2.891357317774975,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.7348143906649847,1.224690651108308,True,10,0,10.666666666666668,20.060549054020466,5,target,True
1,1,0,0,general,"[0.5, 0.5]","[0.3373358801411138, 0.6626641198588862]",1.25,2.25,3.5,0,1.25,0.0,0.47265321320381715,0.02734678679618287,2.0,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.6,0.75,True,1,1,1.25,2.0,5,target,False
0,1,3,2,general,"[0.5, 0.5]","[0.37372900439184864, 0.6262709956081514]",0.49999999999999956,3.0000000000000004,3.5,0,0.49999999999999956,0.09999999999999998,0.16858562896842982,0.02734678679618287,1.0694439487727365,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,2.138887897545475,0.569443948772737,True,2,1,1.7499999999999996,3.0694439487727365,5,target,True
0,1,3,2,general,"[0.5, 0.5]","[0.2462608554963892, 0.7537391445036108]",1.25,2.25,3.5,0,1.25,0.09999999999999998,0.4685856289684298,0.02734678679618287,2.2694439487727363,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.815555159018189,1.0194439487727363,True,3,1,2.9999999999999996,5.338887897545472,5,target,True
1,0,2,3,general,"[0.5, 0.5]","[0.5991375866224309, 0.4008624133775691]",1.25,2.25,3.5,0,1.25,0.499999999999,0.48642308305623655,0.02734678679618287,3.483650907978249,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,2.7869207263825992,2.233650907978249,True,4,1,4.25,8.82253880552372,5,target,True
1,0,2,3,general,"[0.5, 0.5]","[0.07178762093411473, 0.9282123790658853]",1.25,2.25,3.5,0,1.25,0.07140000000000002,0.46980528986863346,0.02734678679618287,2.1926083066592654,0.8,meta-llama/Llama-3.1-8B-Instruct,4,0.7142857142857143,1.7540866453274124,0.9426083066592654,True,5,1,5.5,11.015147112182985,5,target,True
